Date,2021 Traveler Throughput,2020 Traveler Throughput,2019 Traveler Throughput
2/11/21,"1,034,514","2,415,185","2,055,827"
2/10/21,"735,009","2,038,375","2,105,696"
2/9/21,"617,619","1,814,047","1,648,328"
2/8/21,"864,783","2,164,951","2,134,744"
2/7/21,"854,636","2,224,826","2,064,640"
2/6/21,"705,951","1,770,241","1,756,152"
2/5/21,"868,624","2,271,551","1,655,868"
2/4/21,"778,065","2,167,857","2,001,482"
2/3/21,"618,615","1,843,877","1,792,677"
2/2/21,"493,338","1,677,798","1,591,591"
2/1/21,"628,989","2,054,725","2,078,169"
1/31/21,"859,039","1,948,138","1,938,817"
1/30/21,"617,489","1,658,886","1,593,697"
1/29/21,"774,688","2,159,047","1,534,386"
1/28/21,"750,558","2,085,468","1,862,420"
1/27/21,"536,935","1,777,171","2,010,374"
1/26/21,"468,933","1,643,435","1,571,077"
1/25/21,"701,709","2,004,609","2,052,814"
1/24/21,"838,116","2,136,584","1,991,328"
1/23/21,"603,527","1,645,196","1,763,884"
1/22/21,"755,028","2,145,063","1,804,629"
1/21/21,"728,978","2,100,401","2,179,066"
1/20/21,"542,338","1,801,444","1,776,235"
1/19/21,"560,190","1,870,459","1,600,698"
1/18/21,"878,048","2,298,616","2,271,398"
1/17/21,"810,654","2,000,260","2,139,242"
1/16/21,"690,438","1,781,893","1,786,012"
1/15/21,"903,039","2,347,075","1,605,758"
1/14/21,"803,688","2,242,656","1,886,642"
1/13/21,"567,401","1,876,782","1,970,450"
1/12/21,"520,117","1,691,205","1,604,862"
1/11/21,"708,177","1,992,453","1,959,788"
1/10/21,"886,536","2,183,734","1,955,200"
1/9/21,"709,444","1,687,974","1,739,642"
1/8/21,"772,471","2,072,543","1,733,739"
1/7/21,"771,734","2,034,472","2,044,043"
1/6/21,"665,855","1,815,040","2,229,391"
1/5/21,"766,594","1,806,480","1,975,947"
1/4/21,"1,080,346","2,210,542","2,150,571"
1/3/21,"1,327,289","2,422,272","2,202,111"
1/2/21,"1,192,881","2,178,656","2,345,103"
1/1/21,"805,990","2,311,732","2,126,398"
12/31/20,,"874,406","2,392,331"
12/30/20,,"1,163,696","2,133,253"
12/29/20,,"1,019,347","2,009,880"
12/28/20,,"1,111,751","2,500,396"
12/27/20,,"1,284,599","2,575,985"
12/26/20,,"1,128,773","2,470,786"
12/25/20,,"616,469","2,582,580"
12/24/20,,"846,520","2,552,194"
12/23/20,,"1,191,123","1,937,235"
12/22/20,,"992,167","1,981,433"
12/21/20,,"954,782","2,490,503"
12/20/20,,"1,064,619","2,519,399"
12/19/20,,"1,073,563","2,487,987"
12/18/20,,"1,066,747","2,608,088"
12/17/20,,"846,934","2,471,408"
12/16/20,,"641,966","2,234,374"
12/15/20,,"552,024","2,009,112"
12/14/20,,"752,451","2,250,386"
12/13/20,,"865,014","2,300,248"
12/12/20,,"662,380","1,893,871"
12/11/20,,"787,489","2,388,029"
12/10/20,,"754,307","2,362,310"
12/9/20,,"564,372","2,020,488"
12/8/20,,"501,513","1,897,051"
12/7/20,,"703,546","2,226,290"
12/6/20,,"837,137","2,292,079"
12/5/20,,"629,430","1,755,801"
12/4/20,,"753,951","2,278,205"
12/3/20,,"738,050","2,262,878"
